timestamp,building,occupancy_percent,temperature_c,daylight_level,current_energy_kwh,flexible_load_kwh,grid_carbon_intensity
2026-08-01 15:00:00,Admin Block,21,29.1,81,57.59,9.7,401
2026-08-01 15:00:00,Innovation Centre,81,28.4,86,94.66,15.78,543
2026-08-01 15:00:00,Hostel Block,81,29.2,82,98.59,14.96,558
2026-08-01 16:00:00,Engineering Block,33,27.8,63,88.04,11.29,592
2026-08-01 16:00:00,Library,55,29.1,63,79.74,10.21,423
2026-08-01 16:00:00,Admin Block,31,28.7,67,50.97,10.06,412
2026-08-01 16:00:00,Innovation Centre,88,30.4,74,88.82,8.63,563
2026-08-01 16:00:00,Hostel Block,79,30.3,70,99.15,14.03,497
2026-08-01 17:00:00,Engineering Block,85,29.4,61,108.53,19.41,464
2026-08-01 17:00:00,Library,88,30.8,59,85.18,8.9,506
2026-08-01 17:00:00,Admin Block,32,30.7,62,51.84,6.36,493
2026-08-01 17:00:00,Innovation Centre,80,28.7,54,86.37,10.63,517
2026-08-01 17:00:00,Hostel Block,81,28.6,60,101.96,11.04,500
2026-08-01 18:00:00,Engineering Block,61,28.4,47,95.83,13.34,425
2026-08-01 18:00:00,Library,83,29.3,56,87.06,14.93,590
2026-08-01 18:00:00,Admin Block,43,30.3,55,59.43,10.91,577
2026-08-01 18:00:00,Innovation Centre,21,28.8,51,73.84,10.08,583
2026-08-01 18:00:00,Hostel Block,77,30.1,43,96.33,14.43,532
2026-08-01 19:00:00,Engineering Block,54,29.9,35,101.16,14.98,424
2026-08-01 19:00:00,Library,24,30.5,33,66.68,11.64,481
2026-08-01 19:00:00,Admin Block,84,28.6,37,64.22,11.62,573
2026-08-01 19:00:00,Innovation Centre,83,29.8,33,88.83,16.69,501
2026-08-01 19:00:00,Hostel Block,67,29.4,48,97.41,13.67,581
2026-08-02 08:00:00,Engineering Block,30,27.2,56,88.31,13.58,562
2026-08-02 08:00:00,Library,29,25.7,43,69.38,6.63,562
2026-08-02 08:00:00,Admin Block,72,28.4,54,55.91,6.71,463
2026-08-02 08:00:00,Innovation Centre,90,27.2,54,90.03,13.15,557
2026-08-02 08:00:00,Hostel Block,57,27.2,44,93.35,12.52,423
2026-08-02 09:00:00,Engineering Block,43,28.4,54,90.18,14.99,413
2026-08-02 09:00:00,Library,77,27.4,61,86.07,10.72,435
2026-08-02 09:00:00,Admin Block,59,26.8,52,62.24,7.55,499
2026-08-02 09:00:00,Innovation Centre,75,27.5,63,92.09,9.44,495
2026-08-02 09:00:00,Hostel Block,54,27.5,64,93.09,9.95,566
2026-08-02 10:00:00,Engineering Block,53,28.6,77,100.05,15.74,527
2026-08-02 10:00:00,Library,35,27.7,75,74.08,8.09,484
2026-08-02 10:00:00,Admin Block,76,27.9,64,63.22,5.4,464
2026-08-02 10:00:00,Innovation Centre,81,26.5,78,92.54,13.65,415
2026-08-02 10:00:00,Hostel Block,74,27.5,78,105.85,17.62,484
2026-08-02 11:00:00,Engineering Block,70,27.9,85,108.42,19.36,419
2026-08-02 11:00:00,Library,77,28.4,86,90.26,10.47,425
2026-08-02 11:00:00,Admin Block,53,28.9,82,57.03,4.81,566
2026-08-02 11:00:00,Innovation Centre,64,28.8,75,87.15,13.43,595
2026-08-02 11:00:00,Hostel Block,82,27.8,87,95.73,11.39,596
2026-08-02 12:00:00,Engineering Block,67,29.2,93,104.73,14.97,501
2026-08-02 12:00:00,Library,48,27.6,84,76.77,9.03,504
2026-08-02 12:00:00,Admin Block,22,27.4,83,52.63,10.36,533
2026-08-02 12:00:00,Innovation Centre,69,29.4,91,92.92,8.13,400
2026-08-02 12:00:00,Hostel Block,81,28.9,83,107.5,8.64,407
2026-08-02 13:00:00,Engineering Block,67,28.5,100,107.73,13.7,446
2026-08-02 13:00:00,Library,78,29.8,96,83.32,8.88,446
2026-08-02 13:00:00,Admin Block,84,28.1,100,72.81,8.3,558
2026-08-02 13:00:00,Innovation Centre,80,29.9,93,94.44,18.36,513
2026-08-02 13:00:00,Hostel Block,71,29.8,92,97.43,15.51,554
2026-08-02 14:00:00,Engineering Block,88,29.3,93,120.85,21.78,522
2026-08-02 14:00:00,Library,28,28.0,90,67.7,7.66,490
2026-08-02 14:00:00,Admin Block,79,28.2,84,66.87,11.63,464
2026-08-02 14:00:00,Innovation Centre,50,28.5,90,86.02,10.96,583
2026-08-02 14:00:00,Hostel Block,92,29.1,98,104.33,18.97,450
2026-08-02 15:00:00,Engineering Block,34,29.7,83,90.77,9.69,503
2026-08-02 15:00:00,Library,46,30.0,74,79.61,14.35,435
2026-08-02 15:00:00,Admin Block,40,28.9,80,52.6,5.41,548
2026-08-02 15:00:00,Innovation Centre,59,29.1,76,82.88,15.37,425
2026-08-02 15:00:00,Hostel Block,77,28.6,84,100.67,15.27,403
2026-08-02 16:00:00,Engineering Block,71,28.3,77,111.53,21.93,586
2026-08-02 16:00:00,Library,21,27.9,69,60.05,8.54,587
2026-08-02 16:00:00,Admin Block,28,29.9,72,54.09,8.17,430
2026-08-02 16:00:00,Innovation Centre,40,30.5,71,82.25,16.11,498
2026-08-02 16:00:00,Hostel Block,88,30.2,65,100.38,16.35,421
2026-08-02 17:00:00,Engineering Block,26,30.6,52,95.49,16.2,551
2026-08-02 17:00:00,Library,58,28.9,67,72.7,12.46,584
2026-08-02 17:00:00,Admin Block,50,28.3,66,52.9,5.02,488
2026-08-02 17:00:00,Innovation Centre,48,30.9,62,88.18,7.06,418
2026-08-02 17:00:00,Hostel Block,50,29.6,56,86.79,13.48,583
2026-08-02 18:00:00,Engineering Block,58,30.7,58,97.22,16.2,536
2026-08-02 18:00:00,Library,63,28.2,49,83.1,12.63,590
2026-08-02 18:00:00,Admin Block,20,28.7,57,55.89,5.32,440
2026-08-02 18:00:00,Innovation Centre,87,30.3,58,92.7,17.45,440
2026-08-02 18:00:00,Hostel Block,76,31.0,45,102.19,20.26,508
2026-08-02 19:00:00,Engineering Block,71,31.3,32,102.25,11.66,527
2026-08-02 19:00:00,Library,77,30.9,37,84.67,9.68,546
2026-08-02 19:00:00,Admin Block,39,29.6,40,54.3,4.65,514
2026-08-02 19:00:00,Innovation Centre,37,31.1,48,84.28,10.92,595
2026-08-02 19:00:00,Hostel Block,82,28.6,37,100.27,9.85,489
2026-08-03 08:00:00,Engineering Block,46,25.6,55,94.81,16.25,501
2026-08-03 08:00:00,Library,51,28.2,43,79.91,10.82,424
2026-08-03 08:00:00,Admin Block,54,27.9,52,57.73,9.82,454
2026-08-03 08:00:00,Innovation Centre,54,26.4,43,91.59,10.56,557
2026-08-03 08:00:00,Hostel Block,93,26.6,52,113.21,9.77,579
2026-08-03 09:00:00,Engineering Block,47,27.2,53,91.9,15.85,543
2026-08-03 09:00:00,Library,81,28.3,60,77.51,12.13,585
2026-08-03 09:00:00,Admin Block,65,26.3,61,56.9,5.97,556
2026-08-03 09:00:00,Innovation Centre,61,27.2,61,85.78,7.3,583
2026-08-03 09:00:00,Hostel Block,95,27.3,55,110.38,11.84,535
2026-08-03 10:00:00,Engineering Block,50,27.3,74,106.33,14.1,496
2026-08-03 10:00:00,Library,67,26.8,73,82.95,8.09,443
2026-08-03 10:00:00,Admin Block,44,28.2,75,61.34,11.91,477
2026-08-03 10:00:00,Innovation Centre,51,27.9,63,81.16,14.14,498
2026-08-03 10:00:00,Hostel Block,64,27.7,74,102.09,12.11,406
2026-08-03 11:00:00,Engineering Block,44,29.2,81,99.45,12.2,508
2026-08-03 11:00:00,Library,44,26.5,77,70.62,12.47,515
2026-08-03 11:00:00,Admin Block,41,28.5,79,54.87,4.62,584
2026-08-03 11:00:00,Innovation Centre,68,26.6,87,85.77,7.58,419
2026-08-03 11:00:00,Hostel Block,85,26.5,84,104.6,9.3,568
2026-08-03 12:00:00,Engineering Block,80,29.4,97,109.75,16.16,401
2026-08-03 12:00:00,Library,70,27.8,95,82.71,7.24,445
2026-08-03 12:00:00,Admin Block,90,28.2,96,74.36,10.69,534
2026-08-03 12:00:00,Innovation Centre,66,28.3,83,89.81,12.59,461
2026-08-03 12:00:00,Hostel Block,70,28.7,87,104.61,12.18,567
2026-08-03 13:00:00,Engineering Block,23,29.3,94,85.93,13.81,425
2026-08-03 13:00:00,Library,39,27.0,98,67.32,9.43,486
2026-08-03 13:00:00,Admin Block,52,28.1,100,50.54,6.28,430
2026-08-03 13:00:00,Innovation Centre,58,27.0,100,81.53,8.91,541
2026-08-03 13:00:00,Hostel Block,46,29.2,94,87.2,10.31,494
2026-08-03 14:00:00,Engineering Block,33,28.9,96,87.51,12.09,574
2026-08-03 14:00:00,Library,34,27.5,96,77.13,10.4,541
2026-08-03 14:00:00,Admin Block,48,27.3,84,54.89,5.18,465
2026-08-03 14:00:00,Innovation Centre,89,29.9,96,104.02,19.8,556
2026-08-03 14:00:00,Hostel Block,72,29.4,86,99.28,12.7,507
2026-08-03 15:00:00,Engineering Block,90,28.6,86,109.14,19.45,457
2026-08-03 15:00:00,Library,44,29.7,72,77.73,14.79,547
2026-08-03 15:00:00,Admin Block,71,28.3,81,63.94,9.38,534
2026-08-03 15:00:00,Innovation Centre,87,29.7,87,88.65,8.25,455
2026-08-03 15:00:00,Hostel Block,52,29.7,83,85.42,10.61,421
2026-08-03 16:00:00,Engineering Block,53,27.8,74,98.18,12.39,537
2026-08-03 16:00:00,Library,50,27.8,62,68.52,13.65,554
2026-08-03 16:00:00,Admin Block,82,30.1,62,65.25,11.28,498
2026-08-03 16:00:00,Innovation Centre,67,29.4,71,85.25,11.53,540
2026-08-03 16:00:00,Hostel Block,41,30.2,70,81.13,15.05,549
2026-08-03 17:00:00,Engineering Block,79,29.5,68,108.17,13.38,528
2026-08-03 17:00:00,Library,80,28.6,55,90.49,13.58,492
2026-08-03 17:00:00,Admin Block,44,29.9,63,62.66,8.95,553
2026-08-03 17:00:00,Innovation Centre,78,30.3,54,94.74,10.69,446
2026-08-03 17:00:00,Hostel Block,94,28.3,57,104.41,13.35,492
2026-08-03 18:00:00,Engineering Block,69,30.7,47,101.2,15.38,558
2026-08-03 18:00:00,Library,64,31.0,54,77.28,6.58,448
2026-08-03 18:00:00,Admin Block,36,29.0,58,53.08,5.55,516
2026-08-03 18:00:00,Innovation Centre,64,31.0,50,89.4,10.6,465
2026-08-03 18:00:00,Hostel Block,63,29.1,58,94.5,7.57,594
2026-08-03 19:00:00,Engineering Block,63,29.0,47,105.17,8.9,467
2026-08-03 19:00:00,Library,90,31.4,34,89.92,16.38,447
2026-08-03 19:00:00,Admin Block,82,31.0,48,66.69,8.99,448
2026-08-03 19:00:00,Innovation Centre,61,30.9,33,79.58,14.3,436
2026-08-03 19:00:00,Hostel Block,44,31.4,44,93.21,12.69,459
2026-08-04 08:00:00,Engineering Block,30,27.8,55,93.36,9.78,410
2026-08-04 08:00:00,Library,22,27.6,55,65.3,6.06,480
2026-08-04 08:00:00,Admin Block,53,27.4,50,65.49,5.9,445
2026-08-04 08:00:00,Innovation Centre,84,28.4,56,97.55,19.06,548
2026-08-04 08:00:00,Hostel Block,69,28.5,52,99.76,10.14,404
2026-08-04 09:00:00,Engineering Block,20,27.4,60,93.87,16.53,535
2026-08-04 09:00:00,Library,41,27.0,66,69.48,10.75,589
2026-08-04 09:00:00,Admin Block,50,27.9,62,62.67,6.22,455
2026-08-04 09:00:00,Innovation Centre,23,26.1,59,65.2,13.02,590
2026-08-04 09:00:00,Hostel Block,55,27.4,63,88.62,17.02,545
2026-08-04 10:00:00,Engineering Block,47,28.9,77,103.59,18.14,473
2026-08-04 10:00:00,Library,51,28.2,63,73.78,13.07,504
2026-08-04 10:00:00,Admin Block,76,27.1,72,56.75,8.37,442
2026-08-04 10:00:00,Innovation Centre,51,27.4,68,77.7,13.61,534
2026-08-04 10:00:00,Hostel Block,49,27.3,63,95.71,15.36,473
2026-08-04 11:00:00,Engineering Block,43,28.4,87,93.0,11.92,548
2026-08-04 11:00:00,Library,46,29.0,74,73.25,11.77,573
2026-08-04 11:00:00,Admin Block,82,27.9,78,71.03,13.59,567
2026-08-04 11:00:00,Innovation Centre,78,28.1,85,85.13,13.76,529
2026-08-04 11:00:00,Hostel Block,73,27.4,85,96.51,10.91,440
2026-08-04 12:00:00,Engineering Block,39,28.6,87,98.63,9.78,452
2026-08-04 12:00:00,Library,72,28.5,93,78.73,9.98,462
2026-08-04 12:00:00,Admin Block,37,28.5,85,50.85,7.48,509
2026-08-04 12:00:00,Innovation Centre,20,27.7,92,68.84,12.21,585
2026-08-04 12:00:00,Hostel Block,55,29.6,91,92.57,14.25,434
2026-08-04 13:00:00,Engineering Block,86,29.9,99,110.67,13.09,572
2026-08-04 13:00:00,Library,47,29.6,100,68.12,10.97,463
2026-08-04 13:00:00,Admin Block,23,27.4,100,52.01,8.67,477
2026-08-04 13:00:00,Innovation Centre,51,28.3,100,87.05,9.46,430
2026-08-04 13:00:00,Hostel Block,81,29.7,100,104.8,14.87,578
2026-08-04 14:00:00,Engineering Block,20,27.8,96,89.76,14.19,597
2026-08-04 14:00:00,Library,65,29.2,92,86.02,10.49,530
2026-08-04 14:00:00,Admin Block,81,28.5,85,65.32,10.74,421
2026-08-04 14:00:00,Innovation Centre,56,29.6,89,81.63,6.67,465
2026-08-04 14:00:00,Hostel Block,68,28.8,96,100.63,11.41,489
2026-08-04 15:00:00,Engineering Block,53,27.9,81,96.36,19.18,470
2026-08-04 15:00:00,Library,55,29.1,81,77.72,14.11,403
2026-08-04 15:00:00,Admin Block,28,28.6,88,57.78,10.26,438
2026-08-04 15:00:00,Innovation Centre,28,29.3,86,81.26,16.1,410
2026-08-04 15:00:00,Hostel Block,55,27.4,88,89.11,15.11,411
2026-08-04 16:00:00,Engineering Block,30,30.2,66,91.28,9.39,403
2026-08-04 16:00:00,Library,89,28.2,75,78.89,7.58,570
2026-08-04 16:00:00,Admin Block,62,30.2,69,61.01,11.03,449
2026-08-04 16:00:00,Innovation Centre,47,28.8,65,78.49,8.51,574
2026-08-04 16:00:00,Hostel Block,94,29.6,67,104.34,10.14,551
2026-08-04 17:00:00,Engineering Block,25,29.7,58,82.77,9.07,546
2026-08-04 17:00:00,Library,35,30.2,62,72.37,6.87,471
2026-08-04 17:00:00,Admin Block,24,29.6,57,58.08,5.96,433
2026-08-04 17:00:00,Innovation Centre,43,30.8,67,78.6,10.81,426
2026-08-04 17:00:00,Hostel Block,62,28.4,66,91.25,12.28,500
2026-08-04 18:00:00,Engineering Block,57,29.8,52,100.65,14.56,545
2026-08-04 18:00:00,Library,26,30.4,47,70.88,12.42,517
2026-08-04 18:00:00,Admin Block,30,28.7,45,58.28,4.97,451
2026-08-04 18:00:00,Innovation Centre,54,30.8,56,77.35,14.16,447
2026-08-04 18:00:00,Hostel Block,64,31.0,57,102.77,16.55,546
2026-08-04 19:00:00,Engineering Block,41,30.1,44,100.6,13.48,437
2026-08-04 19:00:00,Library,52,31.4,45,74.27,8.58,556
2026-08-04 19:00:00,Admin Block,27,31.2,44,52.04,5.3,512
2026-08-04 19:00:00,Innovation Centre,31,30.1,47,75.0,6.93,419
2026-08-04 19:00:00,Hostel Block,62,29.0,36,97.61,17.3,450
2026-08-05 08:00:00,Engineering Block,61,26.7,47,110.99,10.48,539
2026-08-05 08:00:00,Library,65,26.0,42,76.78,9.93,592
2026-08-05 08:00:00,Admin Block,45,27.1,45,52.61,6.72,439
2026-08-05 08:00:00,Innovation Centre,51,26.5,45,76.05,11.98,501
2026-08-05 08:00:00,Hostel Block,38,25.6,58,90.37,7.6,424
2026-08-05 09:00:00,Engineering Block,20,27.8,68,88.97,14.66,584
2026-08-05 09:00:00,Library,55,28.0,53,70.9,9.51,511
2026-08-05 09:00:00,Admin Block,88,27.0,62,73.54,13.52,417
2026-08-05 09:00:00,Innovation Centre,47,27.6,54,84.39,16.02,537
2026-08-05 09:00:00,Hostel Block,75,28.0,65,98.16,16.14,493
2026-08-05 10:00:00,Engineering Block,60,28.2,75,103.01,17.56,451
2026-08-05 10:00:00,Library,69,27.8,62,78.19,7.27,506
2026-08-05 10:00:00,Admin Block,63,28.2,73,66.28,11.88,474
2026-08-05 10:00:00,Innovation Centre,80,27.5,70,87.99,9.81,518
2026-08-05 10:00:00,Hostel Block,88,26.5,77,110.36,10.56,540
2026-08-05 11:00:00,Engineering Block,51,28.4,79,101.64,16.66,533
2026-08-05 11:00:00,Library,45,29.3,82,66.04,7.79,521
2026-08-05 11:00:00,Admin Block,83,28.1,81,70.6,10.7,418
2026-08-05 11:00:00,Innovation Centre,27,28.2,74,72.51,9.13,478
2026-08-05 11:00:00,Hostel Block,73,26.9,88,105.04,17.71,489
2026-08-05 12:00:00,Engineering Block,49,26.8,84,98.07,14.54,455
2026-08-05 12:00:00,Library,36,27.3,97,75.72,12.02,524
2026-08-05 12:00:00,Admin Block,74,28.5,96,67.08,7.59,500
2026-08-05 12:00:00,Innovation Centre,26,28.5,91,73.09,14.4,587
2026-08-05 12:00:00,Hostel Block,68,26.9,95,104.51,14.28,553
2026-08-05 13:00:00,Engineering Block,28,26.9,100,82.39,15.26,423
2026-08-05 13:00:00,Library,28,27.0,96,69.5,10.8,545
2026-08-05 13:00:00,Admin Block,74,27.5,93,67.3,9.57,518
2026-08-05 13:00:00,Innovation Centre,56,29.3,93,87.46,11.59,595
2026-08-05 13:00:00,Hostel Block,42,28.1,94,85.9,8.06,427
2026-08-05 14:00:00,Engineering Block,28,29.7,92,83.25,15.77,594
2026-08-05 14:00:00,Library,67,28.9,96,87.54,8.03,440
2026-08-05 14:00:00,Admin Block,30,30.1,85,53.86,5.41,588
2026-08-05 14:00:00,Innovation Centre,62,29.9,85,83.21,6.74,455
2026-08-05 14:00:00,Hostel Block,79,27.5,83,105.7,10.22,510
2026-08-05 15:00:00,Engineering Block,90,29.4,79,121.4,15.46,448
2026-08-05 15:00:00,Library,44,27.5,76,78.84,7.01,572
2026-08-05 15:00:00,Admin Block,36,27.7,72,61.73,7.49,480
2026-08-05 15:00:00,Innovation Centre,76,28.2,78,98.47,16.56,583
2026-08-05 15:00:00,Hostel Block,47,29.5,80,85.5,13.53,476
2026-08-05 16:00:00,Engineering Block,77,28.5,77,103.95,20.51,488
2026-08-05 16:00:00,Library,50,28.9,64,76.16,7.72,496
2026-08-05 16:00:00,Admin Block,28,29.3,68,59.97,7.67,583
2026-08-05 16:00:00,Innovation Centre,83,28.5,70,91.74,10.53,510
2026-08-05 16:00:00,Hostel Block,65,30.2,69,93.32,15.13,525
2026-08-05 17:00:00,Engineering Block,44,29.1,64,93.3,17.93,514
2026-08-05 17:00:00,Library,60,29.0,57,72.34,9.41,429
2026-08-05 17:00:00,Admin Block,79,29.6,65,59.0,11.1,561
2026-08-05 17:00:00,Innovation Centre,37,28.9,63,80.11,10.19,549
2026-08-05 17:00:00,Hostel Block,54,30.9,67,85.39,11.56,582
2026-08-05 18:00:00,Engineering Block,26,29.0,57,94.06,15.74,528
2026-08-05 18:00:00,Library,37,30.0,49,71.66,9.87,423
2026-08-05 18:00:00,Admin Block,70,29.7,44,55.65,7.3,523
2026-08-05 18:00:00,Innovation Centre,62,29.1,42,84.19,14.25,543
2026-08-05 18:00:00,Hostel Block,89,28.4,58,104.49,17.27,435
2026-08-05 19:00:00,Engineering Block,79,29.4,41,119.13,15.61,486
2026-08-05 19:00:00,Library,71,31.1,35,74.79,7.97,525
2026-08-05 19:00:00,Admin Block,86,31.4,42,64.81,10.01,404
2026-08-05 19:00:00,Innovation Centre,77,30.5,40,89.57,7.76,480
2026-08-05 19:00:00,Hostel Block,73,30.9,36,99.64,16.33,465
2026-08-06 08:00:00,Engineering Block,23,28.3,56,84.51,10.29,405
2026-08-06 08:00:00,Library,59,25.5,52,76.14,13.93,564
2026-08-06 08:00:00,Admin Block,71,25.7,44,70.35,13.61,414
2026-08-06 08:00:00,Innovation Centre,30,25.6,54,74.28,8.08,527
2026-08-06 08:00:00,Hostel Block,40,26.0,52,91.67,9.44,569
2026-08-06 09:00:00,Engineering Block,50,28.5,54,102.99,18.95,531
2026-08-06 09:00:00,Library,82,28.0,54,80.68,7.98,469
2026-08-06 09:00:00,Admin Block,79,26.0,66,58.26,10.85,458
2026-08-06 09:00:00,Innovation Centre,67,28.7,54,93.17,15.43,543
2026-08-06 09:00:00,Hostel Block,38,26.3,54,91.87,8.12,458
2026-08-06 10:00:00,Engineering Block,31,29.0,74,96.37,15.62,538
2026-08-06 10:00:00,Library,66,26.3,68,77.04,12.33,511
2026-08-06 10:00:00,Admin Block,49,27.1,77,64.62,11.23,543
2026-08-06 10:00:00,Innovation Centre,87,28.2,70,89.25,13.3,490
2026-08-06 10:00:00,Hostel Block,38,26.3,69,86.97,13.06,423
2026-08-06 11:00:00,Engineering Block,89,28.4,76,110.05,18.75,541
2026-08-06 11:00:00,Library,84,28.7,72,80.12,7.93,557
2026-08-06 11:00:00,Admin Block,84,28.9,82,72.57,14.22,572
2026-08-06 11:00:00,Innovation Centre,28,28.1,74,79.0,12.34,440
2026-08-06 11:00:00,Hostel Block,69,26.7,86,91.98,14.5,538
2026-08-06 12:00:00,Engineering Block,86,29.0,96,116.2,21.32,531
2026-08-06 12:00:00,Library,67,27.5,97,84.5,7.29,446
2026-08-06 12:00:00,Admin Block,50,28.4,94,60.98,8.85,493
2026-08-06 12:00:00,Innovation Centre,58,29.3,83,83.86,14.43,512
2026-08-06 12:00:00,Hostel Block,76,28.5,87,108.69,9.65,549
2026-08-06 13:00:00,Engineering Block,54,28.9,98,105.39,17.82,467
2026-08-06 13:00:00,Library,39,28.9,95,78.72,9.86,562
2026-08-06 13:00:00,Admin Block,47,29.1,100,59.93,9.6,585
2026-08-06 13:00:00,Innovation Centre,67,29.8,100,90.5,13.35,491
2026-08-06 13:00:00,Hostel Block,57,29.7,98,95.19,8.5,570
2026-08-06 14:00:00,Engineering Block,56,27.6,92,100.4,8.28,501
2026-08-06 14:00:00,Library,54,27.3,88,72.3,6.5,594
2026-08-06 14:00:00,Admin Block,68,29.7,98,58.32,9.49,456
2026-08-06 14:00:00,Innovation Centre,22,29.6,96,78.75,8.4,426
2026-08-06 14:00:00,Hostel Block,39,28.7,95,85.76,14.74,541
2026-08-06 15:00:00,Engineering Block,30,27.9,76,89.02,13.71,594
2026-08-06 15:00:00,Library,90,29.9,78,89.59,9.01,409
2026-08-06 15:00:00,Admin Block,69,30.0,74,68.3,11.74,440
2026-08-06 15:00:00,Innovation Centre,80,30.3,80,94.06,13.67,454
2026-08-06 15:00:00,Hostel Block,56,29.3,79,97.21,17.57,583
2026-08-06 16:00:00,Engineering Block,47,29.9,76,97.31,11.43,517
2026-08-06 16:00:00,Library,33,27.7,68,67.76,8.87,436
2026-08-06 16:00:00,Admin Block,76,29.9,66,59.41,11.06,483
2026-08-06 16:00:00,Innovation Centre,77,30.1,62,97.47,10.72,400
2026-08-06 16:00:00,Hostel Block,70,28.1,78,94.38,12.96,443
2026-08-06 17:00:00,Engineering Block,89,29.2,58,119.42,12.07,482
2026-08-06 17:00:00,Library,78,28.6,52,75.78,12.02,443
2026-08-06 17:00:00,Admin Block,54,28.0,64,61.59,11.54,518
2026-08-06 17:00:00,Innovation Centre,80,30.6,63,86.13,8.88,597
2026-08-06 17:00:00,Hostel Block,54,29.7,55,85.7,15.16,476
2026-08-06 18:00:00,Engineering Block,64,29.1,50,109.91,11.15,451
2026-08-06 18:00:00,Library,48,30.4,52,68.2,8.51,579
2026-08-06 18:00:00,Admin Block,42,30.3,55,49.06,7.75,518
2026-08-06 18:00:00,Innovation Centre,55,28.7,58,79.05,14.19,516
2026-08-06 18:00:00,Hostel Block,75,30.0,55,93.82,14.03,445
2026-08-06 19:00:00,Engineering Block,56,29.3,34,101.36,10.4,507
2026-08-06 19:00:00,Library,34,31.1,47,66.18,6.33,546
2026-08-06 19:00:00,Admin Block,47,28.8,39,63.07,8.5,472
2026-08-06 19:00:00,Innovation Centre,37,29.9,45,79.61,15.33,446
2026-08-06 19:00:00,Hostel Block,76,29.2,44,103.53,20.62,443
2026-08-07 08:00:00,Engineering Block,54,25.7,45,95.23,11.41,427
2026-08-07 08:00:00,Library,34,27.7,48,74.31,7.37,515
2026-08-07 08:00:00,Admin Block,21,27.0,49,43.37,5.85,451
2026-08-07 08:00:00,Innovation Centre,90,26.0,56,90.8,10.93,559
2026-08-07 08:00:00,Hostel Block,66,28.0,56,96.13,15.71,588
2026-08-07 09:00:00,Engineering Block,45,26.5,60,100.2,13.02,416
2026-08-07 09:00:00,Library,85,27.0,65,83.78,9.76,571
2026-08-07 09:00:00,Admin Block,72,26.7,53,55.22,9.27,431
2026-08-07 09:00:00,Innovation Centre,59,28.7,60,86.1,10.89,594
2026-08-07 09:00:00,Hostel Block,68,28.4,64,90.08,7.36,482
2026-08-07 10:00:00,Engineering Block,21,28.9,68,85.78,9.12,480
2026-08-07 10:00:00,Library,77,28.9,75,77.3,11.3,539
2026-08-07 10:00:00,Admin Block,43,26.2,67,51.04,9.01,589
